season,week,method,constraint_type,eliminated,contestant,judge_total,fan_vote_mean,fan_vote_std,feasible_rate,num_valid,n_simulations,p_elim,rank_elim,p_elim_true,rank_true,status,finals_order
1,2,rank,elimination,Trista Sutter,John O'Hurley,26.0,0.16522092549124306,0.138853506025594,0.23253,23253,100000,0.00023666666666666714,6.0,0.15662233333332987,3.0,ok,
1,2,rank,elimination,Trista Sutter,Kelly Monaco,17.0,0.2011000390160966,0.135323488417285,0.23253,23253,100000,0.30450566666667517,2.0,0.15662233333332987,3.0,ok,
1,2,rank,elimination,Trista Sutter,Evander Holyfield,14.0,0.25062034580464154,0.13442037776853297,0.23253,23253,100000,0.4760606666666613,1.0,0.15662233333332987,3.0,ok,
1,2,rank,elimination,Trista Sutter,Rachel Hunter,24.0,0.1646381724078058,0.13949668825161715,0.23253,23253,100000,0.008773999999999981,5.0,0.15662233333332987,3.0,ok,
1,2,rank,elimination,Trista Sutter,Joey McIntyre,21.0,0.1719605478700879,0.13795735547877236,0.23253,23253,100000,0.05380066666666702,4.0,0.15662233333332987,3.0,ok,
1,2,rank,elimination,Trista Sutter,Trista Sutter,19.0,0.046459969410125396,0.038230718214191065,0.23253,23253,100000,0.15662233333332987,3.0,0.15662233333332987,3.0,ok,
1,3,rank,elimination,Evander Holyfield,John O'Hurley,24.0,0.20938258368418275,0.168033166209935,0.62383,62383,100000,0.032789999999999785,4.0,0.5122533333333267,1.0,ok,
1,3,rank,elimination,Evander Holyfield,Kelly Monaco,21.0,0.2497825075437147,0.16798559709478847,0.62383,62383,100000,0.31361000000001177,2.0,0.5122533333333267,1.0,ok,
1,3,rank,elimination,Evander Holyfield,Evander Holyfield,13.0,0.1128762348162744,0.0922497540732747,0.62383,62383,100000,0.5122533333333267,1.0,0.5122533333333267,1.0,ok,
1,3,rank,elimination,Evander Holyfield,Rachel Hunter,26.0,0.20924694145159264,0.1697972251487474,0.62383,62383,100000,0.0018200000000000143,5.0,0.5122533333333267,1.0,ok,
1,3,rank,elimination,Evander Holyfield,Joey McIntyre,22.0,0.21871173250422615,0.16805131113044108,0.62383,62383,100000,0.13952666666666172,3.0,0.5122533333333267,1.0,ok,
1,4,rank,elimination,Rachel Hunter,John O'Hurley,21.0,0.2706112558962907,0.16174722161562874,0.20825,20825,100000,0.3148950000000115,2.0,0.10874499999999968,3.0,ok,
1,4,rank,elimination,Rachel Hunter,Kelly Monaco,26.0,0.2288058602596379,0.18023145208476007,0.20825,20825,100000,0.010405000000000077,4.0,0.10874499999999968,3.0,ok,
1,4,rank,elimination,Rachel Hunter,Rachel Hunter,25.0,0.07895630644365656,0.062213036652161595,0.20825,20825,100000,0.10874499999999968,3.0,0.10874499999999968,3.0,ok,
